datum,nakazenych,vyliecenych,umrti,pcr_testov,ag_testou,hospitalizovany
2020-01-27,0,0,0,20,0,
2020-01-28,0,0,0,8,0,
2020-01-29,0,0,0,5,0,
2020-01-30,0,0,0,1,0,
2020-01-31,0,0,0,3,0,
2020-02-01,0,0,0,1,0,
2020-02-02,0,0,0,5,0,
2020-02-03,0,0,0,5,0,
2020-02-04,0,0,0,5,0,
2020-02-05,0,0,0,0,0,
2020-02-06,0,0,0,3,0,
2020-02-07,0,0,0,6,0,
2020-02-08,0,0,0,0,0,
2020-02-09,0,0,0,2,0,
2020-02-10,0,0,0,8,0,
2020-02-11,0,0,0,2,0,
2020-02-12,0,0,0,1,0,
2020-02-13,0,0,0,1,0,
2020-02-14,0,0,0,0,0,
2020-02-15,0,0,0,1,0,
2020-02-16,0,0,0,1,0,
2020-02-17,0,0,0,2,0,
2020-02-18,0,0,0,0,0,
2020-02-19,0,0,0,2,0,
2020-02-20,0,0,0,0,0,
2020-02-21,0,0,0,0,0,
2020-02-22,0,0,0,1,0,
2020-02-23,0,0,0,3,0,
2020-02-24,0,0,0,12,0,
2020-02-25,0,0,0,14,0,
2020-02-26,0,0,0,23,0,
2020-02-27,0,0,0,35,0,
2020-02-28,0,0,0,23,0,
2020-02-29,0,0,0,7,0,
2020-03-01,3,0,0,11,0,
2020-03-02,0,0,0,51,0,
2020-03-03,2,0,0,78,0,
2020-03-04,1,0,0,67,0,
2020-03-05,3,0,0,76,0,
2020-03-06,11,0,0,111,0,
2020-03-07,7,0,0,193,0,
2020-03-08,6,0,0,141,0,
2020-03-09,6,0,0,265,0,
2020-03-10,25,0,0,165,0,
2020-03-11,31,0,0,458,0,2.0
2020-03-12,22,0,0,537,0,1.0
2020-03-13,25,0,0,845,0,2.0
2020-03-14,48,1,0,986,0,1.0
2020-03-15,109,3,0,1028,0,2.0
2020-03-16,85,0,0,1319,0,14.0
2020-03-17,67,0,0,1294,0,31.0
2020-03-18,110,1,0,1756,0,5.0
2020-03-19,206,1,0,2259,0,8.0
2020-03-20,124,3,0,2121,0,14.0
2020-03-21,159,5,0,1882,0,18.0
2020-03-22,115,0,1,1801,0,22.0
2020-03-23,126,5,0,2291,0,26.0
2020-03-24,185,4,2,3062,0,25.0
2020-03-25,292,5,7,4107,0,47.0
2020-03-26,259,10,0,4633,0,49.0
2020-03-27,377,15,2,5359,0,40.0
2020-03-28,263,8,5,4224,0,45.0
2020-03-29,159,18,6,2848,0,28.0
2020-03-30,184,30,5,5159,0,24.0
2020-03-31,305,22,7,6661,0,44.0
2020-04-01,283,46,8,6102,0,45.0
2020-04-02,268,42,6,6673,0,39.0
2020-04-03,333,68,8,7398,0,41.0
2020-04-04,283,46,9,5837,0,29.0
2020-04-05,117,42,8,4812,0,25.0
2020-04-06,236,98,8,6435,0,38.0
2020-04-07,196,122,10,8173,0,42.0
2020-04-08,294,115,15,8469,0,33.0
2020-04-09,257,183,10,8180,0,36.0
2020-04-10,163,149,11,5702,0,26.0
2020-04-11,170,135,8,4891,0,24.0
2020-04-12,89,112,10,3250,0,16.0
2020-04-13,68,127,11,3215,0,13.0
2020-04-14,82,200,9,6173,0,10.0
2020-04-15,160,211,0,8476,0,20.0
2020-04-16,132,277,2,8381,0,23.0
2020-04-17,116,328,8,8288,0,25.0
2020-04-18,105,169,4,5605,0,15.0
2020-04-19,92,157,9,4027,0,23.0
2020-04-20,154,242,7,6567,0,25.0
2020-04-21,133,237,8,8341,0,40.0
2020-04-22,99,312,2,8818,0,16.0
2020-04-23,55,237,6,7901,0,27.0
2020-04-24,86,262,6,7129,0,20.0
2020-04-25,79,148,4,4446,0,11.0
2020-04-26,52,82,2,3381,0,10.0
2020-04-27,41,201,1,7754,0,14.0
2020-04-28,60,169,4,8741,0,12.0
2020-04-29,75,196,5,7322,0,4.0
2020-04-30,104,210,8,7396,0,19.0
2020-05-01,55,132,8,4497,0,8.0
2020-05-02,18,98,1,3885,0,11.0
2020-05-03,26,128,3,3881,0,6.0
2020-05-04,38,166,5,7756,0,11.0
2020-05-05,77,178,3,9383,0,12.0
2020-05-06,79,180,3,8052,0,4.0
2020-05-07,58,173,4,7599,0,10.0
2020-05-08,46,71,5,4510,0,9.0
2020-05-09,18,78,3,3788,0,6.0
2020-05-10,28,53,3,4052,0,4.0
2020-05-11,56,137,2,7809,0,5.0
2020-05-12,45,91,3,8755,0,5.0
2020-05-13,50,136,4,7687,0,7.0
2020-05-14,82,106,3,6902,0,5.0
2020-05-15,55,89,2,6790,0,3.0
2020-05-16,51,43,1,4197,0,3.0
2020-05-17,20,49,2,3553,0,1.0
2020-05-18,113,96,3,7458,0,9.0
2020-05-19,62,62,2,8336,0,4.0
2020-05-20,74,91,5,7518,0,5.0
2020-05-21,35,91,3,7290,0,7.0
2020-05-22,59,61,2,7748,0,6.0
2020-05-23,77,40,1,5059,0,4.0
2020-05-24,65,32,1,3849,0,5.0
2020-05-25,47,88,1,7508,0,3.0
2020-05-26,51,81,1,7241,0,8.0
2020-05-27,37,80,0,6846,0,4.0
2020-05-28,54,48,2,6013,0,4.0
2020-05-29,57,63,0,6113,0,3.0
2020-05-30,34,40,0,3548,0,8.0
2020-05-31,38,24,0,2141,0,2.0
2020-06-01,34,75,2,6528,0,4.0
2020-06-02,63,86,1,5547,0,5.0
2020-06-03,74,79,1,4926,0,
2020-06-04,61,56,3,4526,0,4.0
2020-06-05,35,68,0,4058,0,9.0
2020-06-06,38,22,0,2400,0,4.0
2020-06-07,61,24,1,1759,0,4.0
2020-06-08,69,52,0,4830,0,1.0
2020-06-09,55,48,1,4002,0,4.0
2020-06-10,73,73,1,3883,0,6.0
2020-06-11,64,47,1,3648,0,4.0
2020-06-12,52,61,1,3408,0,6.0
2020-06-13,53,23,0,1573,0,4.0
2020-06-14,33,12,1,986,0,5.0
2020-06-15,40,41,1,3889,0,11.0
2020-06-16,47,61,1,3369,0,6.0
2020-06-17,51,58,1,3316,0,7.0
2020-06-18,118,52,2,3398,0,7.0
