id,datum,pocet_hosp,stav_bez_priznaku,stav_lehky,stav_stredni,stav_tezky,jip,kyslik,hfno,upv,ecmo,tezky_upv_ecmo
19273c8a-f18c-49d8-8ed6-741479adea82,2020-03-01,,,,,,,,,,,
212b6b0a-36f3-409d-a902-967fbf8f36cc,2020-03-02,,,,,,,,,,,
8d5d93e0-4a08-4a77-8464-3ec75755b120,2020-03-03,,,,,,,,,,,
7c3ad6e3-dd58-4cbc-ad2d-fe29d35819e2,2020-03-04,,,,,,,,,,,
226150da-bc58-49a5-878e-65eed7f5ceb2,2020-03-05,,,,,,,,,,,
2280864e-9783-4bc6-bc8e-e212da5796eb,2020-03-06,,,,,,,,,,,
c5c3c907-1cdb-41a0-a19a-359d17c2b8b3,2020-03-07,,,,,,,,,,,
274a84d6-8daf-466f-9d57-d73e08943bc5,2020-03-08,,,,,,,,,,,
08acea2a-074a-42f6-8766-3f11e2ea88e1,2020-03-09,,,,,,,,,,,
c5058de1-24eb-43f2-b54f-41f839d2a364,2020-03-10,,,,,,,,,,,
1fb10b4a-0048-41c0-8da0-1fa1e6c4c16e,2020-03-11,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,
1a7417af-583c-44d8-8b1e-b3f7448caf5f,2020-03-12,3.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,
bd5b6363-d65b-4b7f-aefd-b99130fc9f82,2020-03-13,4.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,
374eea88-4d4b-408c-b6f4-f153c631a47b,2020-03-14,4.0,1.0,3.0,0.0,0.0,,1.0,0.0,0.0,0.0,
0a51221b-911f-497c-aa45-8a6cbf00e40e,2020-03-15,6.0,1.0,5.0,0.0,0.0,,1.0,0.0,0.0,0.0,
fed043a8-09da-4e52-8c71-010b1b45e4b5,2020-03-16,19.0,3.0,8.0,6.0,2.0,3.0,4.0,0.0,2.0,1.0,2.0
bf437339-5f37-437f-9c2c-bb755a167114,2020-03-17,49.0,7.0,24.0,13.0,5.0,7.0,8.0,0.0,4.0,1.0,5.0
7b95caa5-d9f5-4b40-9592-6b9ef4f6476b,2020-03-18,50.0,7.0,25.0,12.0,6.0,9.0,10.0,0.0,4.0,1.0,6.0
296f7e8a-88f1-4f6d-82f8-070e219c8170,2020-03-19,55.0,8.0,29.0,12.0,6.0,10.0,9.0,0.0,4.0,1.0,6.0
c7de0b27-029a-4e6d-a05d-b080bcc47823,2020-03-20,66.0,9.0,32.0,10.0,15.0,16.0,14.0,0.0,8.0,1.0,15.0
e268b275-1aa6-4825-a763-fd88e28464af,2020-03-21,79.0,5.0,41.0,19.0,14.0,18.0,23.0,0.0,11.0,1.0,14.0
f4834f53-9cab-46bc-bd64-16df8674e15c,2020-03-22,97.0,6.0,49.0,26.0,16.0,27.0,27.0,0.0,16.0,1.0,18.0
1887dcae-773e-419c-97a3-0fd81ebe35af,2020-03-23,117.0,7.0,54.0,34.0,22.0,31.0,31.0,0.0,19.0,1.0,22.0
51f2fa7c-5322-425a-822d-92a9179bd575,2020-03-24,135.0,8.0,54.0,47.0,26.0,41.0,43.0,0.0,23.0,1.0,26.0
1ca26e4e-f3f4-4cbe-afdf-675b00d1cecd,2020-03-25,175.0,8.0,55.0,77.0,35.0,54.0,61.0,0.0,26.0,1.0,36.0
5f3bc3dc-c221-4844-90d7-66ea228f878c,2020-03-26,205.0,5.0,72.0,91.0,37.0,51.0,63.0,0.0,30.0,1.0,38.0
fbcf9734-69e8-4994-832d-9d79ac5c836d,2020-03-27,237.0,5.0,68.0,117.0,47.0,59.0,84.0,0.0,33.0,1.0,48.0
912b2287-8e39-42d1-9557-61e2d2323b97,2020-03-28,271.0,10.0,85.0,120.0,56.0,63.0,98.0,0.0,37.0,1.0,57.0
c7d8e8cb-7a2c-4bad-9ef0-62f8406f41d9,2020-03-29,282.0,11.0,103.0,115.0,53.0,61.0,98.0,0.0,37.0,2.0,53.0
d98dfb0a-0747-4811-a675-cdd0967bc330,2020-03-30,294.0,8.0,101.0,119.0,66.0,73.0,107.0,0.0,47.0,3.0,66.0
3c9c3b18-8936-466f-9a64-129ba114ea51,2020-03-31,322.0,8.0,107.0,135.0,72.0,82.0,110.0,0.0,55.0,3.0,72.0
2a9ba667-7ea2-4d90-9588-1f5a65e6e6cd,2020-04-01,345.0,12.0,121.0,138.0,74.0,88.0,104.0,0.0,59.0,4.0,74.0
ad6777eb-0e14-4ba0-bb68-d15bb7958bd1,2020-04-02,351.0,15.0,125.0,135.0,76.0,87.0,102.0,0.0,65.0,2.0,76.0
30e7c25e-3da8-4753-b928-3a1daa9e49bf,2020-04-03,375.0,24.0,118.0,147.0,86.0,94.0,126.0,0.0,65.0,2.0,86.0
0b8e499e-dbb7-4093-a21d-86743db85292,2020-04-04,365.0,20.0,104.0,157.0,84.0,90.0,131.0,0.0,62.0,2.0,84.0
a60d09c2-e08b-421f-8d67-ed07c151cc0d,2020-04-05,371.0,19.0,112.0,158.0,82.0,91.0,138.0,0.0,62.0,2.0,82.0
f4c57cd1-31b7-4787-956c-0f715d1ca585,2020-04-06,395.0,24.0,121.0,163.0,87.0,96.0,133.0,0.0,65.0,2.0,88.0
bcbe997e-ed51-4f9b-8bcf-bedf1a4306c9,2020-04-07,413.0,34.0,117.0,162.0,100.0,102.0,137.0,0.0,64.0,2.0,100.0
ac57b995-7df7-470b-bac4-6c4ecc352fdb,2020-04-08,423.0,41.0,122.0,166.0,94.0,96.0,137.0,0.0,61.0,3.0,94.0
405d7461-37b8-4a1e-942d-f429606c413f,2020-04-09,417.0,47.0,115.0,159.0,96.0,94.0,136.0,0.0,64.0,3.0,96.0
f1c97f20-5a17-4800-8180-98d223dd86c5,2020-04-10,406.0,40.0,114.0,163.0,89.0,90.0,135.0,0.0,62.0,3.0,89.0
0c2a9b22-42e2-45f9-8b04-1b4a610df31f,2020-04-11,406.0,44.0,114.0,161.0,87.0,94.0,124.0,0.0,62.0,3.0,87.0
f28dc00c-2ed6-4ea9-ab7e-84e25a38923d,2020-04-12,402.0,39.0,108.0,155.0,100.0,99.0,142.0,0.0,63.0,3.0,100.0
50e89df7-25b6-4051-b073-d328d0489051,2020-04-13,395.0,44.0,107.0,151.0,93.0,93.0,123.0,0.0,61.0,3.0,93.0
b3d439b0-c8c3-4441-8674-4d97a10d7c46,2020-04-14,385.0,44.0,110.0,148.0,83.0,83.0,111.0,0.0,59.0,5.0,83.0
e69f0928-28fa-49be-8102-0a07398aee6a,2020-04-15,370.0,42.0,109.0,143.0,76.0,79.0,108.0,0.0,57.0,4.0,77.0
5094538e-dbe9-4ad2-87cd-4082d96ec7b4,2020-04-16,362.0,50.0,91.0,138.0,83.0,87.0,108.0,0.0,57.0,3.0,83.0
e3f7bd7f-740e-4122-b98c-990b678abf4e,2020-04-17,355.0,43.0,95.0,137.0,80.0,86.0,109.0,0.0,56.0,3.0,81.0
b90b3138-b4dc-4f8c-8fcc-a50b199a676b,2020-04-18,338.0,42.0,97.0,125.0,74.0,81.0,103.0,0.0,51.0,3.0,75.0
5062d1ef-68b5-4875-9dfd-33013f303f77,2020-04-19,345.0,41.0,97.0,128.0,79.0,84.0,106.0,0.0,52.0,3.0,81.0
2b37a874-58b2-430c-a069-46e895f50bd6,2020-04-20,348.0,52.0,104.0,116.0,76.0,86.0,89.0,0.0,54.0,3.0,78.0
ca9f36f6-8ae7-4d29-a773-c47d7e3026e7,2020-04-21,365.0,65.0,110.0,112.0,78.0,82.0,84.0,0.0,48.0,4.0,79.0
46d976aa-f12c-4a80-a903-6294b0f5a7f3,2020-04-22,342.0,73.0,88.0,107.0,74.0,78.0,83.0,0.0,47.0,4.0,75.0
4ea15dc6-8c82-400d-b4b0-e569b7374694,2020-04-23,335.0,70.0,92.0,95.0,78.0,75.0,82.0,0.0,45.0,4.0,78.0
c89049ac-8576-43f6-ae04-5dbbf11d0349,2020-04-24,329.0,76.0,81.0,97.0,75.0,73.0,81.0,0.0,47.0,4.0,75.0
81f9a682-040f-4da4-9b7f-b2c4e0cc47f1,2020-04-25,314.0,73.0,73.0,97.0,71.0,69.0,74.0,0.0,43.0,4.0,71.0
98934905-ed1e-462f-8083-4f02cf71e72b,2020-04-26,309.0,71.0,78.0,88.0,72.0,67.0,71.0,0.0,45.0,4.0,72.0
614a1f02-eee9-4523-9850-96c53ccbd508,2020-04-27,309.0,76.0,74.0,91.0,68.0,68.0,74.0,0.0,45.0,3.0,68.0
5d838346-de98-475d-a137-63bbfd9fc30e,2020-04-28,305.0,73.0,81.0,83.0,68.0,61.0,66.0,0.0,42.0,3.0,68.0
81a1f861-15f8-4e77-8cf2-3cc5fc78c9e4,2020-04-29,286.0,63.0,83.0,78.0,62.0,60.0,65.0,0.0,42.0,2.0,64.0
f286e07a-882d-4c0c-8ca8-8273f214be55,2020-04-30,273.0,64.0,76.0,75.0,58.0,52.0,66.0,0.0,39.0,2.0,60.0
ef343884-03ce-4d92-b08e-96080a848a48,2020-05-01,244.0,48.0,70.0,73.0,53.0,46.0,64.0,0.0,35.0,1.0,55.0
e8c5bb59-9c8d-49de-8ebf-7b6cb685e877,2020-05-02,233.0,52.0,62.0,70.0,49.0,47.0,58.0,0.0,32.0,1.0,50.0
