datum,vek_txt,covid_umrti
2020-03-22,0-14,0
2020-03-22,15-39,0
2020-03-22,40-64,0
2020-03-22,65-74,0
2020-03-22,75-84,0
2020-03-22,85+,1
2020-03-29,0-14,0
2020-03-29,15-39,0
2020-03-29,40-64,2
2020-03-29,65-74,3
2020-03-29,75-84,9
2020-03-29,85+,8
2020-04-05,0-14,0
2020-04-05,15-39,0
2020-04-05,40-64,6
2020-04-05,65-74,8
2020-04-05,75-84,16
2020-04-05,85+,20
2020-04-12,0-14,0
2020-04-12,15-39,1
2020-04-12,40-64,7
2020-04-12,65-74,12
2020-04-12,75-84,26
2020-04-12,85+,26
2020-04-19,0-14,0
2020-04-19,15-39,0
2020-04-19,40-64,2
2020-04-19,65-74,14
2020-04-19,75-84,18
2020-04-19,85+,9
2020-04-26,0-14,0
2020-04-26,15-39,0
2020-04-26,40-64,3
2020-04-26,65-74,8
2020-04-26,75-84,12
2020-04-26,85+,12
2020-05-03,0-14,0
2020-05-03,15-39,0
2020-05-03,40-64,4
2020-05-03,65-74,6
2020-05-03,75-84,13
2020-05-03,85+,7
2020-05-10,0-14,0
2020-05-10,15-39,0
2020-05-10,40-64,0
2020-05-10,65-74,12
2020-05-10,75-84,7
2020-05-10,85+,7
2020-05-17,0-14,0
2020-05-17,15-39,0
2020-05-17,40-64,0
2020-05-17,65-74,7
2020-05-17,75-84,5
2020-05-17,85+,5
2020-05-24,0-14,0
2020-05-24,15-39,0
2020-05-24,40-64,1
2020-05-24,65-74,6
2020-05-24,75-84,4
2020-05-24,85+,6
2020-05-31,0-14,0
2020-05-31,15-39,0
2020-05-31,40-64,0
2020-05-31,65-74,1
2020-05-31,75-84,1
2020-05-31,85+,2
2020-06-07,0-14,0
2020-06-07,15-39,0
2020-06-07,40-64,0
2020-06-07,65-74,2
2020-06-07,75-84,4
2020-06-07,85+,2
2020-06-14,0-14,0
2020-06-14,15-39,0
2020-06-14,40-64,1
2020-06-14,65-74,1
2020-06-14,75-84,1
2020-06-14,85+,2
2020-06-21,0-14,0
2020-06-21,15-39,0
2020-06-21,40-64,0
2020-06-21,65-74,3
2020-06-21,75-84,1
2020-06-21,85+,4
2020-06-28,0-14,0
2020-06-28,15-39,0
2020-06-28,40-64,1
2020-06-28,65-74,2
2020-06-28,75-84,1
2020-06-28,85+,3
2020-07-05,0-14,0
2020-07-05,15-39,0
2020-07-05,40-64,0
2020-07-05,65-74,0
2020-07-05,75-84,2
2020-07-05,85+,4
2020-07-12,0-14,0
2020-07-12,15-39,0
