celkove_umrti,datum,vek_txt
10,2020-01-05,0-14
35,2020-01-05,15-39
371,2020-01-05,40-64
532,2020-01-05,65-74
662,2020-01-05,75-84
695,2020-01-05,85 a více
8,2020-01-12,0-14
28,2020-01-12,15-39
343,2020-01-12,40-64
489,2020-01-12,65-74
700,2020-01-12,75-84
757,2020-01-12,85 a více
7,2020-01-19,0-14
26,2020-01-19,15-39
315,2020-01-19,40-64
534,2020-01-19,65-74
665,2020-01-19,75-84
697,2020-01-19,85 a více
13,2020-01-26,0-14
29,2020-01-26,15-39
356,2020-01-26,40-64
531,2020-01-26,65-74
695,2020-01-26,75-84
713,2020-01-26,85 a více
5,2020-02-02,0-14
35,2020-02-02,15-39
326,2020-02-02,40-64
521,2020-02-02,65-74
701,2020-02-02,75-84
776,2020-02-02,85 a více
6,2020-02-09,0-14
38,2020-02-09,15-39
328,2020-02-09,40-64
561,2020-02-09,65-74
690,2020-02-09,75-84
732,2020-02-09,85 a více
8,2020-02-16,0-14
35,2020-02-16,15-39
317,2020-02-16,40-64
546,2020-02-16,65-74
680,2020-02-16,75-84
805,2020-02-16,85 a více
9,2020-02-23,0-14
26,2020-02-23,15-39
338,2020-02-23,40-64
509,2020-02-23,65-74
711,2020-02-23,75-84
757,2020-02-23,85 a více
10,2020-03-01,0-14
42,2020-03-01,15-39
328,2020-03-01,40-64
564,2020-03-01,65-74
686,2020-03-01,75-84
730,2020-03-01,85 a více
6,2020-03-08,0-14
37,2020-03-08,15-39
335,2020-03-08,40-64
553,2020-03-08,65-74
642,2020-03-08,75-84
721,2020-03-08,85 a více
8,2020-03-15,0-14
33,2020-03-15,15-39
321,2020-03-15,40-64
552,2020-03-15,65-74
661,2020-03-15,75-84
720,2020-03-15,85 a více
9,2020-03-22,0-14
34,2020-03-22,15-39
353,2020-03-22,40-64
552,2020-03-22,65-74
660,2020-03-22,75-84
717,2020-03-22,85 a více
8,2020-03-29,0-14
36,2020-03-29,15-39
342,2020-03-29,40-64
540,2020-03-29,65-74
684,2020-03-29,75-84
687,2020-03-29,85 a více
5,2020-04-05,0-14
31,2020-04-05,15-39
316,2020-04-05,40-64
584,2020-04-05,65-74
696,2020-04-05,75-84
